,AROT_H,AROT_M,AROT_L,AROT_UM,AROT_J,AROT_S,DROT_H,DROT_M,DROT_L,DROT_UM,DROT_J,DROT_S
105,68.0,55.0,,53.0,93.0,,32.0,45.0,,41.0,34.0,
106,59.0,58.0,,74.0,117.0,,36.0,44.0,,36.0,38.0,
107,61.0,55.0,,58.0,91.0,,53.0,37.0,,41.0,37.0,
108,75.0,59.0,,68.0,64.0,,33.0,32.0,,32.0,41.0,
109,59.0,59.0,,70.0,102.0,,55.0,42.0,,49.0,40.0,
110,72.0,63.0,,72.0,114.0,,50.0,44.0,,30.0,37.0,
111,58.0,57.0,,69.0,108.0,,52.0,27.0,,27.0,40.0,
112,69.0,58.0,,63.0,111.0,,58.0,42.0,,28.0,37.0,
113,60.0,60.0,,63.0,110.0,,35.0,39.0,,59.0,40.0,
114,61.0,57.0,,63.0,64.0,,51.0,44.0,,35.0,46.0,
115,58.0,53.0,,61.0,141.0,,36.0,50.0,,47.0,30.0,
116,71.0,54.0,,74.0,98.0,,38.0,41.0,,46.0,38.0,
117,59.0,54.0,,62.0,57.0,,50.0,43.0,,37.0,41.0,
118,70.0,70.0,,56.0,66.0,,50.0,60.0,,56.0,42.0,
119,71.0,67.0,,67.0,63.0,,46.0,38.0,,44.0,38.0,
120,57.0,79.0,,58.0,64.0,,50.0,59.0,,44.0,44.0,
121,58.0,47.0,,54.0,97.0,,66.0,47.0,,48.0,37.0,
122,64.0,55.0,,62.0,58.0,,44.0,34.0,,33.0,36.0,
123,64.0,47.0,,67.0,117.0,,43.0,41.0,,49.0,37.0,
124,60.0,63.0,,55.0,63.0,,47.0,30.0,,34.0,41.0,
125,70.0,58.0,,55.0,59.0,,49.0,67.0,,41.0,38.0,
126,47.0,57.0,,62.0,104.0,,55.0,29.0,,50.0,44.0,
127,66.0,60.0,,60.0,60.0,,45.0,40.0,,37.0,40.0,
128,61.0,55.0,,69.0,64.0,,49.0,54.0,,55.0,34.0,
129,62.0,51.0,,82.0,125.0,,35.0,54.0,,36.0,40.0,
130,60.0,56.0,,66.0,98.0,,31.0,52.0,,52.0,41.0,
131,63.0,62.0,,65.0,59.0,,64.0,47.0,,47.0,48.0,
132,74.0,64.0,,56.0,107.0,,41.0,27.0,,41.0,41.0,
133,62.0,52.0,,50.0,106.0,,47.0,33.0,,50.0,37.0,
134,63.0,54.0,,62.0,96.0,,52.0,43.0,,40.0,39.0,
135,71.0,57.0,,61.0,109.0,,35.0,46.0,,53.0,37.0,
136,65.0,49.0,,63.0,98.0,,52.0,25.0,,42.0,44.0,
137,56.0,59.0,,48.0,105.0,,40.0,35.0,,36.0,40.0,
138,56.0,54.0,,64.0,56.0,,52.0,43.0,,49.0,38.0,
139,56.0,55.0,,69.0,107.0,,55.0,50.0,,32.0,43.0,
140,62.0,50.0,,55.0,62.0,,58.0,39.0,,41.0,41.0,
141,59.0,60.0,,56.0,110.0,,40.0,46.0,,43.0,44.0,
142,74.0,57.0,,57.0,104.0,,57.0,49.0,,37.0,39.0,
143,72.0,64.0,,65.0,98.0,,50.0,37.0,,38.0,43.0,
144,60.0,54.0,,55.0,101.0,,52.0,29.0,,48.0,35.0,
145,62.0,55.0,,52.0,114.0,,53.0,43.0,,36.0,45.0,
146,58.0,58.0,,57.0,88.0,,37.0,37.0,,45.0,38.0,
147,57.0,56.0,,69.0,116.0,,52.0,33.0,,53.0,40.0,
148,57.0,76.0,,56.0,94.0,,43.0,45.0,,55.0,42.0,
149,60.0,57.0,,51.0,62.0,,47.0,40.0,,34.0,36.0,
150,64.0,57.0,,53.0,101.0,,32.0,38.0,,32.0,39.0,
151,66.0,57.0,,60.0,102.0,,46.0,43.0,,41.0,44.0,
152,59.0,57.0,,61.0,104.0,,36.0,38.0,,48.0,36.0,
153,73.0,52.0,,63.0,122.0,,41.0,46.0,,43.0,38.0,
154,53.0,57.0,,65.0,103.0,,53.0,41.0,,49.0,38.0,
155,63.0,58.0,,61.0,86.0,,44.0,48.0,,40.0,39.0,
156,63.0,52.0,,52.0,100.0,,53.0,38.0,,43.0,36.0,
157,58.0,60.0,,66.0,53.0,,49.0,46.0,,39.0,42.0,
158,63.0,53.0,,53.0,99.0,,47.0,38.0,,31.0,34.0,
159,70.0,51.0,,57.0,115.0,,49.0,34.0,,53.0,43.0,
160,58.0,47.0,,62.0,109.0,,37.0,44.0,,36.0,32.0,
161,66.0,61.0,,67.0,104.0,,50.0,46.0,,43.0,36.0,
162,67.0,52.0,,62.0,91.0,,48.0,40.0,,46.0,35.0,
163,66.0,59.0,,57.0,110.0,,55.0,36.0,,34.0,36.0,
164,56.0,59.0,,56.0,104.0,,46.0,32.0,,39.0,34.0,
165,60.0,56.0,,53.0,62.0,,52.0,51.0,,46.0,36.0,
166,63.0,54.0,,50.0,103.0,,51.0,38.0,,36.0,51.0,
167,63.0,61.0,,60.0,115.0,,49.0,62.0,,43.0,44.0,
168,66.0,54.0,,54.0,108.0,,30.0,41.0,,28.0,41.0,
169,62.0,53.0,,61.0,117.0,,43.0,46.0,,32.0,40.0,
170,60.0,61.0,,52.0,107.0,,52.0,39.0,,41.0,39.0,
171,58.0,58.0,,60.0,90.0,,49.0,39.0,,50.0,35.0,
172,57.0,56.0,,60.0,110.0,,34.0,32.0,,39.0,46.0,
173,61.0,54.0,,55.0,98.0,,54.0,36.0,,46.0,37.0,
174,62.0,68.0,,74.0,93.0,,43.0,31.0,,26.0,39.0,
175,56.0,51.0,,59.0,106.0,,48.0,37.0,,51.0,40.0,
176,95.0,54.0,,53.0,110.0,,55.0,42.0,,58.0,43.0,
177,51.0,52.0,,56.0,105.0,,56.0,36.0,,58.0,40.0,
178,61.0,57.0,,59.0,98.0,,45.0,39.0,,45.0,35.0,
179,53.0,51.0,,66.0,118.0,,45.0,43.0,,57.0,40.0,
180,66.0,53.0,,59.0,111.0,,46.0,44.0,,39.0,42.0,
181,62.0,56.0,,56.0,103.0,,56.0,35.0,,40.0,34.0,
182,61.0,58.0,,66.0,100.0,,53.0,49.0,,32.0,34.0,
183,61.0,52.0,,64.0,122.0,,35.0,38.0,,42.0,39.0,
184,80.0,51.0,,65.0,101.0,,40.0,45.0,,41.0,35.0,
185,57.0,51.0,,56.0,126.0,,46.0,40.0,,42.0,40.0,
186,63.0,53.0,,53.0,115.0,,61.0,36.0,,49.0,44.0,
187,57.0,62.0,,59.0,100.0,,37.0,34.0,,47.0,42.0,
188,54.0,57.0,,67.0,100.0,,43.0,44.0,,49.0,42.0,
189,60.0,57.0,,66.0,56.0,,54.0,39.0,,50.0,37.0,
190,62.0,56.0,,56.0,112.0,,30.0,39.0,,47.0,34.0,
191,64.0,63.0,,61.0,104.0,,49.0,36.0,,53.0,40.0,
192,62.0,54.0,,59.0,101.0,,49.0,33.0,,43.0,42.0,
193,62.0,49.0,,63.0,99.0,,19.0,38.0,,37.0,38.0,
194,58.0,56.0,,54.0,111.0,,50.0,38.0,,43.0,42.0,
195,82.0,56.0,,60.0,114.0,,42.0,33.0,,50.0,39.0,
196,60.0,54.0,,58.0,114.0,,74.0,52.0,,50.0,39.0,
197,83.0,52.0,,51.0,54.0,,43.0,47.0,,39.0,36.0,
198,65.0,66.0,,57.0,97.0,,39.0,39.0,,40.0,50.0,
199,58.0,49.0,,61.0,57.0,,49.0,38.0,,90.0,37.0,
200,59.0,64.0,,53.0,105.0,,41.0,39.0,,43.0,40.0,
201,53.0,53.0,,53.0,106.0,,52.0,44.0,,40.0,38.0,
202,61.0,59.0,,58.0,109.0,,50.0,42.0,,33.0,45.0,
203,54.0,55.0,,75.0,108.0,,47.0,31.0,,62.0,44.0,
204,68.0,54.0,,62.0,119.0,,34.0,30.0,,46.0,45.0,
205,59.0,49.0,,55.0,116.0,,48.0,40.0,,38.0,38.0,
206,66.0,53.0,,56.0,105.0,,41.0,41.0,,44.0,51.0,
207,61.0,57.0,,68.0,96.0,,54.0,38.0,,43.0,44.0,
208,64.0,53.0,,66.0,98.0,,54.0,47.0,,37.0,33.0,
209,59.0,73.0,,64.0,60.0,,54.0,31.0,,38.0,41.0,
210,62.0,58.0,,56.0,61.0,,31.0,49.0,,45.0,40.0,
211,72.0,47.0,,65.0,94.0,,35.0,29.0,,39.0,40.0,
212,50.0,57.0,,56.0,59.0,,51.0,39.0,,47.0,36.0,
213,63.0,59.0,,65.0,56.0,,45.0,48.0,,51.0,40.0,
214,61.0,64.0,,50.0,107.0,,43.0,32.0,,38.0,35.0,
215,56.0,51.0,,58.0,112.0,,49.0,43.0,,48.0,41.0,
216,58.0,52.0,,64.0,109.0,,46.0,40.0,,34.0,49.0,
217,64.0,50.0,,59.0,106.0,,50.0,35.0,,33.0,41.0,
218,59.0,55.0,,56.0,122.0,,50.0,50.0,,38.0,45.0,
219,61.0,57.0,,51.0,116.0,,56.0,41.0,,42.0,37.0,
220,67.0,56.0,,56.0,105.0,,49.0,45.0,,52.0,43.0,
221,63.0,61.0,,63.0,95.0,,41.0,33.0,,43.0,45.0,
222,76.0,53.0,,62.0,122.0,,70.0,34.0,,44.0,39.0,
223,71.0,60.0,,74.0,113.0,,48.0,45.0,,33.0,40.0,
224,76.0,58.0,,49.0,97.0,,60.0,32.0,,34.0,40.0,
225,57.0,54.0,,60.0,112.0,,55.0,35.0,,43.0,42.0,
